Id,Predicted
0,surprise
1,neutral
2,non-neutral
3,neutral
4,non-neutral
5,sadness
6,non-neutral
7,non-neutral
8,neutral
9,non-neutral
10,surprise
11,fear
12,non-neutral
13,neutral
14,neutral
15,surprise
16,sadness
17,surprise
18,non-neutral
19,non-neutral
20,non-neutral
21,joy
22,surprise
23,joy
24,joy
25,fear
26,disgust
27,joy
28,anger
29,joy
30,surprise
31,neutral
32,non-neutral
33,joy
34,neutral
35,neutral
36,neutral
37,neutral
38,disgust
39,neutral
40,neutral
41,non-neutral
42,disgust
43,neutral
44,neutral
45,surprise
46,disgust
47,joy
48,neutral
49,surprise
50,neutral
51,neutral
52,neutral
53,neutral
54,neutral
55,neutral
56,surprise
57,neutral
58,non-neutral
59,sadness
60,joy
61,neutral
62,anger
63,neutral
64,neutral
65,fear
66,neutral
67,neutral
68,non-neutral
69,joy
70,non-neutral
71,neutral
72,neutral
73,joy
74,joy
75,anger
76,neutral
77,neutral
78,non-neutral
79,joy
80,non-neutral
81,surprise
82,joy
83,joy
84,neutral
85,joy
86,joy
87,neutral
88,neutral
89,neutral
90,non-neutral
91,joy
92,neutral
93,neutral
94,fear
95,sadness
96,neutral
97,neutral
98,neutral
99,neutral
100,neutral
101,neutral
102,joy
103,disgust
104,joy
105,neutral
106,non-neutral
107,non-neutral
108,neutral
109,neutral
110,neutral
111,joy
112,anger
113,non-neutral
114,non-neutral
115,neutral
116,surprise
117,non-neutral
118,joy
119,joy
120,non-neutral
121,neutral
122,neutral
123,neutral
124,joy
125,neutral
126,neutral
127,neutral
128,neutral
129,neutral
130,neutral
131,neutral
132,anger
133,joy
134,joy
135,neutral
136,neutral
137,neutral
138,non-neutral
139,neutral
140,neutral
141,neutral
142,joy
143,non-neutral
144,neutral
145,non-neutral
146,surprise
147,neutral
148,surprise
149,surprise
150,neutral
151,non-neutral
152,anger
153,neutral
154,surprise
155,neutral
156,neutral
157,surprise
158,neutral
159,neutral
160,neutral
161,surprise
162,neutral
163,joy
164,surprise
165,non-neutral
166,non-neutral
167,anger
168,neutral
169,non-neutral
170,neutral
171,non-neutral
172,neutral
173,anger
174,neutral
175,non-neutral
176,neutral
177,non-neutral
178,neutral
179,anger
180,neutral
181,non-neutral
182,non-neutral
183,neutral
184,neutral
185,non-neutral
186,neutral
187,surprise
188,fear
189,surprise
190,non-neutral
191,joy
192,neutral
193,neutral
194,joy
195,neutral
196,neutral
197,fear
198,neutral
199,joy
200,joy
201,joy
202,joy
203,neutral
204,non-neutral
205,joy
206,neutral
207,non-neutral
208,anger
209,neutral
210,surprise
211,joy
212,non-neutral
213,neutral
214,neutral
215,neutral
216,neutral
217,neutral
218,neutral
219,non-neutral
220,non-neutral
221,joy
222,joy
223,neutral
224,neutral
225,non-neutral
226,sadness
227,neutral
228,neutral
229,neutral
230,non-neutral
231,non-neutral
232,neutral
233,joy
234,neutral
235,non-neutral
236,neutral
237,non-neutral
238,non-neutral
239,joy
240,neutral
241,surprise
242,sadness
243,neutral
244,fear
245,neutral
246,sadness
247,neutral
248,sadness
249,surprise
250,neutral
251,joy
252,joy
253,surprise
254,surprise
255,disgust
256,neutral
257,neutral
258,non-neutral
259,neutral
260,non-neutral
261,neutral
262,surprise
263,joy
264,neutral
265,joy
266,joy
267,surprise
268,neutral
269,anger
270,neutral
271,neutral
272,non-neutral
273,surprise
274,non-neutral
275,fear
276,sadness
277,neutral
278,neutral
279,neutral
280,neutral
281,joy
282,joy
283,neutral
284,neutral
285,neutral
286,joy
287,joy
288,joy
289,neutral
290,joy
291,neutral
292,neutral
293,fear
294,neutral
295,neutral
296,fear
297,neutral
298,joy
299,non-neutral
300,surprise
301,sadness
302,neutral
303,joy
304,joy
305,sadness
306,neutral
307,fear
308,non-neutral
309,joy
310,neutral
311,non-neutral
312,fear
313,neutral
314,neutral
315,neutral
316,neutral
317,non-neutral
318,surprise
319,neutral
320,non-neutral
321,surprise
322,neutral
323,non-neutral
324,neutral
325,non-neutral
326,neutral
327,non-neutral
328,neutral
329,non-neutral
330,neutral
331,non-neutral
332,disgust
333,neutral
334,non-neutral
335,non-neutral
336,neutral
337,neutral
338,neutral
339,neutral
340,non-neutral
341,non-neutral
342,neutral
343,surprise
344,joy
345,joy
346,joy
347,neutral
348,joy
349,surprise
350,neutral
351,surprise
352,anger
353,non-neutral
354,non-neutral
355,neutral
356,anger
357,non-neutral
358,non-neutral
359,neutral
360,neutral
361,non-neutral
362,joy
363,joy
364,neutral
365,neutral
366,non-neutral
367,neutral
368,non-neutral
369,neutral
370,neutral
371,neutral
372,joy
373,non-neutral
374,neutral
375,non-neutral
376,neutral
377,neutral
378,joy
379,joy
380,joy
381,neutral
382,joy
383,joy
384,joy
385,anger
386,surprise
387,joy
388,neutral
389,fear
390,surprise
391,neutral
392,non-neutral
393,non-neutral
394,neutral
395,non-neutral
396,neutral
397,neutral
398,non-neutral
399,fear
400,non-neutral
401,joy
402,disgust
403,disgust
404,joy
405,non-neutral
406,non-neutral
407,anger
408,non-neutral
409,anger
410,non-neutral
411,neutral
412,anger
413,neutral
414,non-neutral
415,neutral
416,non-neutral
417,sadness
418,neutral
419,non-neutral
420,neutral
421,neutral
422,neutral
423,disgust
424,neutral
425,neutral
426,non-neutral
427,neutral
428,non-neutral
429,neutral
430,neutral
431,joy
432,joy
433,neutral
434,neutral
435,neutral
436,non-neutral
437,joy
438,neutral
439,neutral
440,surprise
441,neutral
442,fear
443,neutral
444,neutral
445,non-neutral
446,anger
447,neutral
448,non-neutral
449,joy
450,joy
451,non-neutral
452,neutral
453,non-neutral
454,non-neutral
455,neutral
456,non-neutral
457,neutral
458,neutral
459,joy
460,joy
461,non-neutral
462,neutral
463,neutral
464,joy
465,anger
466,neutral
467,non-neutral
468,non-neutral
469,neutral
470,non-neutral
471,non-neutral
472,surprise
473,fear
474,neutral
475,neutral
476,non-neutral
477,joy
478,surprise
479,sadness
480,fear
481,surprise
482,neutral
483,fear
484,joy
485,joy
486,neutral
487,neutral
488,neutral
489,neutral
490,neutral
491,non-neutral
492,surprise
493,non-neutral
494,non-neutral
495,disgust
496,neutral
497,neutral
498,neutral
499,neutral
500,neutral
501,neutral
502,joy
503,fear
504,disgust
505,non-neutral
506,non-neutral
507,non-neutral
508,neutral
509,neutral
510,neutral
511,non-neutral
512,neutral
513,joy
514,sadness
515,surprise
516,neutral
517,neutral
518,surprise
519,neutral
520,neutral
521,neutral
522,neutral
523,neutral
524,neutral
525,neutral
526,neutral
527,neutral
528,neutral
529,neutral
530,joy
531,joy
532,neutral
533,joy
534,joy
535,joy
536,neutral
537,neutral
538,neutral
539,neutral
540,surprise
541,neutral
542,anger
543,sadness
544,neutral
545,surprise
546,neutral
547,neutral
548,neutral
549,joy
550,non-neutral
551,neutral
552,neutral
553,joy
554,non-neutral
555,non-neutral
556,non-neutral
557,neutral
558,surprise
559,neutral
560,non-neutral
561,non-neutral
562,surprise
563,joy
564,non-neutral
565,non-neutral
566,joy
567,surprise
568,joy
569,joy
570,non-neutral
571,non-neutral
572,non-neutral
573,joy
574,surprise
575,neutral
576,surprise
577,neutral
578,surprise
579,joy
580,neutral
581,joy
582,joy
583,joy
584,neutral
585,non-neutral
586,neutral
587,neutral
588,neutral
589,neutral
590,surprise
591,disgust
592,neutral
593,non-neutral
594,neutral
595,non-neutral
596,surprise
597,neutral
598,disgust
599,disgust
600,neutral
601,neutral
602,joy
603,joy
604,neutral
605,surprise
606,non-neutral
607,sadness
608,neutral
609,non-neutral
610,neutral
611,fear
612,anger
613,neutral
614,surprise
615,neutral
616,non-neutral
617,surprise
618,non-neutral
619,non-neutral
620,neutral
621,neutral
622,non-neutral
623,neutral
624,neutral
625,anger
626,neutral
627,joy
628,joy
629,joy
630,non-neutral
631,neutral
632,neutral
633,non-neutral
634,anger
635,non-neutral
636,joy
637,neutral
638,neutral
639,joy
640,neutral
641,disgust
642,non-neutral
643,neutral
644,non-neutral
645,neutral
646,neutral
647,joy
648,non-neutral
649,sadness
650,non-neutral
651,non-neutral
652,neutral
653,neutral
654,joy
655,non-neutral
656,neutral
657,neutral
658,joy
659,neutral
660,neutral
661,neutral
662,fear
663,non-neutral
664,neutral
665,neutral
666,neutral
667,joy
668,joy
669,surprise
670,surprise
671,joy
672,neutral
673,neutral
674,disgust
675,fear
676,non-neutral
677,neutral
678,non-neutral
679,neutral
680,surprise
681,non-neutral
682,non-neutral
683,surprise
684,neutral
685,surprise
686,surprise
687,non-neutral
688,neutral
689,non-neutral
690,neutral
691,non-neutral
692,fear
693,non-neutral
694,neutral
695,neutral
696,neutral
697,joy
698,neutral
699,neutral
700,non-neutral
701,non-neutral
702,joy
703,neutral
704,joy
705,surprise
706,neutral
707,neutral
708,neutral
709,non-neutral
710,neutral
711,non-neutral
712,neutral
713,neutral
714,surprise
715,joy
716,non-neutral
717,neutral
718,joy
719,joy
720,surprise
721,non-neutral
722,neutral
723,neutral
724,sadness
725,surprise
726,surprise
727,non-neutral
728,surprise
729,fear
730,neutral
731,joy
732,non-neutral
733,neutral
734,non-neutral
735,neutral
736,joy
737,non-neutral
738,neutral
739,joy
740,non-neutral
741,neutral
742,neutral
743,joy
744,joy
745,neutral
746,neutral
747,neutral
748,surprise
749,anger
750,surprise
751,non-neutral
752,anger
753,neutral
754,sadness
755,sadness
756,neutral
757,neutral
758,neutral
759,anger
760,neutral
761,non-neutral
762,neutral
763,fear
764,neutral
765,fear
766,neutral
767,neutral
768,neutral
769,fear
770,joy
771,neutral
772,neutral
773,neutral
774,non-neutral
775,joy
776,non-neutral
777,disgust
778,non-neutral
779,non-neutral
780,non-neutral
781,non-neutral
782,neutral
783,neutral
784,disgust
785,joy
786,disgust
787,surprise
788,anger
789,neutral
790,neutral
791,non-neutral
792,neutral
793,neutral
794,neutral
795,non-neutral
796,surprise
797,neutral
798,joy
799,neutral
800,surprise
801,neutral
802,sadness
803,anger
804,fear
805,neutral
806,neutral
807,neutral
808,neutral
809,neutral
810,neutral
811,neutral
812,neutral
813,anger
814,neutral
815,neutral
816,non-neutral
817,sadness
818,neutral
819,joy
820,neutral
821,joy
822,sadness
823,neutral
824,neutral
825,neutral
826,non-neutral
827,joy
828,joy
829,joy
830,joy
831,neutral
832,neutral
833,neutral
834,neutral
835,non-neutral
836,sadness
837,sadness
838,non-neutral
839,non-neutral
840,neutral
841,neutral
842,neutral
843,neutral
844,joy
845,neutral
846,neutral
847,surprise
848,neutral
849,neutral
850,neutral
851,joy
852,joy
853,joy
854,neutral
855,anger
856,joy
857,neutral
858,neutral
859,neutral
860,neutral
861,neutral
862,neutral
863,surprise
864,non-neutral
865,fear
866,neutral
867,non-neutral
868,joy
869,neutral
870,non-neutral
871,surprise
872,neutral
873,non-neutral
874,surprise
875,surprise
876,surprise
877,surprise
878,surprise
879,fear
880,anger
881,surprise
882,non-neutral
883,joy
884,joy
885,neutral
886,neutral
887,neutral
888,neutral
889,non-neutral
890,neutral
891,joy
892,joy
893,neutral
894,neutral
895,surprise
896,neutral
897,neutral
898,neutral
899,neutral
900,non-neutral
901,surprise
902,neutral
903,joy
904,joy
905,surprise
906,non-neutral
907,neutral
908,anger
909,neutral
910,neutral
911,sadness
912,fear
913,non-neutral
914,joy
915,neutral
916,joy
917,surprise
918,surprise
919,surprise
920,neutral
921,surprise
922,disgust
923,surprise
924,non-neutral
925,neutral
926,non-neutral
927,non-neutral
928,non-neutral
929,neutral
930,neutral
931,neutral
932,neutral
933,neutral
934,joy
935,non-neutral
936,joy
937,non-neutral
938,neutral
939,non-neutral
940,neutral
941,neutral
942,neutral
943,non-neutral
944,non-neutral
945,neutral
946,disgust
947,neutral
948,surprise
949,non-neutral
950,neutral
951,non-neutral
952,non-neutral
953,surprise
954,neutral
955,neutral
956,neutral
957,surprise
958,non-neutral
959,non-neutral
960,non-neutral
961,neutral
962,surprise
963,neutral
964,neutral
965,non-neutral
966,surprise
967,surprise
968,neutral
969,joy
970,joy
971,non-neutral
972,non-neutral
973,neutral
974,neutral
975,neutral
976,joy
977,surprise
978,neutral
979,joy
980,non-neutral
981,non-neutral
982,non-neutral
983,neutral
984,non-neutral
985,anger
986,anger
987,neutral
988,neutral
989,neutral
990,neutral
991,neutral
992,anger
993,neutral
994,anger
995,neutral
996,fear
997,surprise
998,joy
999,neutral
1000,joy
1001,neutral
1002,surprise
1003,neutral
1004,joy
1005,neutral
1006,neutral
1007,neutral
1008,surprise
1009,non-neutral
1010,neutral
1011,neutral
1012,joy
1013,surprise
1014,non-neutral
1015,joy
1016,fear
1017,non-neutral
1018,joy
1019,non-neutral
1020,non-neutral
1021,non-neutral
1022,neutral
1023,joy
1024,neutral
1025,joy
1026,neutral
1027,neutral
1028,anger
1029,neutral
1030,joy
1031,neutral
1032,anger
1033,sadness
1034,neutral
1035,joy
1036,joy
1037,neutral
1038,neutral
1039,sadness
1040,neutral
1041,neutral
1042,neutral
1043,neutral
1044,neutral
1045,surprise
1046,surprise
1047,non-neutral
1048,neutral
1049,neutral
1050,neutral
1051,surprise
1052,surprise
1053,fear
1054,fear
1055,anger
1056,non-neutral
1057,neutral
1058,non-neutral
1059,non-neutral
1060,neutral
1061,neutral
1062,neutral
1063,neutral
1064,joy
1065,neutral
1066,joy
1067,neutral
1068,neutral
1069,neutral
1070,surprise
1071,surprise
1072,neutral
1073,neutral
1074,neutral
1075,joy
1076,surprise
1077,joy
1078,neutral
1079,non-neutral
1080,disgust
1081,neutral
1082,neutral
1083,neutral
1084,fear
1085,non-neutral
1086,neutral
1087,neutral
1088,non-neutral
1089,non-neutral
1090,non-neutral
1091,joy
1092,joy
1093,neutral
1094,neutral
1095,neutral
1096,neutral
1097,neutral
1098,neutral
1099,neutral
1100,sadness
1101,joy
1102,neutral
1103,neutral
1104,neutral
1105,neutral
1106,neutral
1107,neutral
1108,neutral
1109,neutral
1110,joy
1111,sadness
1112,surprise
1113,neutral
1114,surprise
1115,surprise
1116,non-neutral
1117,sadness
1118,neutral
1119,joy
1120,neutral
1121,neutral
1122,neutral
1123,neutral
1124,joy
1125,joy
1126,neutral
1127,joy
1128,neutral
1129,neutral
1130,neutral
1131,non-neutral
1132,neutral
1133,neutral
1134,neutral
1135,sadness
1136,neutral
1137,surprise
1138,non-neutral
1139,joy
1140,neutral
1141,joy
1142,joy
1143,neutral
1144,joy
1145,joy
1146,neutral
1147,surprise
1148,non-neutral
1149,surprise
1150,anger
1151,non-neutral
1152,surprise
1153,neutral
1154,non-neutral
1155,joy
1156,neutral
1157,non-neutral
1158,non-neutral
1159,neutral
1160,neutral
1161,neutral
1162,non-neutral
1163,neutral
1164,fear
1165,fear
1166,fear
1167,neutral
1168,fear
1169,neutral
1170,non-neutral
1171,neutral
1172,fear
1173,neutral
1174,non-neutral
1175,neutral
1176,anger
1177,joy
1178,joy
1179,surprise
1180,neutral
1181,surprise
1182,non-neutral
1183,surprise
1184,neutral
1185,neutral
1186,surprise
1187,fear
1188,surprise
1189,surprise
1190,joy
1191,non-neutral
1192,neutral
1193,surprise
1194,joy
1195,neutral
1196,non-neutral
1197,neutral
1198,neutral
1199,neutral
1200,non-neutral
1201,neutral
1202,joy
1203,joy
1204,non-neutral
1205,joy
1206,neutral
1207,neutral
1208,non-neutral
1209,joy
1210,non-neutral
1211,neutral
1212,non-neutral
1213,joy
1214,neutral
1215,neutral
1216,neutral
1217,sadness
1218,non-neutral
1219,neutral
1220,joy
1221,non-neutral
1222,neutral
1223,neutral
1224,surprise
1225,joy
1226,neutral
1227,joy
1228,sadness
1229,neutral
1230,non-neutral
1231,neutral
1232,neutral
1233,anger
1234,neutral
1235,non-neutral
1236,non-neutral
1237,neutral
1238,non-neutral
1239,joy
1240,joy
1241,non-neutral
1242,fear
1243,surprise
1244,anger
1245,fear
1246,surprise
1247,non-neutral
1248,surprise
1249,disgust
1250,joy
1251,neutral
1252,non-neutral
1253,neutral
1254,neutral
1255,non-neutral
1256,surprise
1257,neutral
1258,non-neutral
1259,neutral
1260,neutral
1261,non-neutral
1262,neutral
1263,joy
1264,neutral
1265,non-neutral
1266,surprise
1267,neutral
1268,surprise
1269,surprise
1270,non-neutral
1271,neutral
1272,neutral
1273,joy
1274,joy
1275,neutral
1276,joy
1277,joy
1278,neutral
1279,surprise
1280,neutral
1281,non-neutral
1282,neutral
1283,surprise
1284,neutral
1285,non-neutral
1286,non-neutral
1287,neutral
1288,non-neutral
1289,joy
1290,surprise
1291,fear
1292,surprise
1293,non-neutral
1294,surprise
1295,surprise
1296,neutral
1297,anger
1298,neutral
1299,neutral
1300,neutral
1301,neutral
1302,neutral
1303,neutral
1304,neutral
1305,anger
1306,neutral
1307,non-neutral
1308,anger
1309,surprise
1310,surprise
1311,non-neutral
1312,non-neutral
1313,joy
1314,neutral
1315,neutral
1316,neutral
1317,neutral
1318,non-neutral
1319,neutral
1320,neutral
1321,neutral
1322,neutral
1323,neutral
1324,neutral
1325,sadness
1326,disgust
1327,neutral
1328,surprise
1329,neutral
1330,non-neutral
1331,neutral
1332,neutral
1333,neutral
1334,disgust
1335,disgust
1336,surprise
1337,non-neutral
1338,neutral
1339,non-neutral
1340,non-neutral
1341,neutral
1342,neutral
1343,surprise
1344,sadness
1345,non-neutral
1346,surprise
1347,surprise
1348,non-neutral
1349,neutral
1350,neutral
1351,neutral
1352,fear
1353,neutral
1354,sadness
1355,surprise
1356,non-neutral
1357,neutral
1358,neutral
1359,neutral
1360,neutral
1361,joy
1362,non-neutral
1363,neutral
1364,non-neutral
1365,neutral
1366,neutral
1367,neutral
1368,neutral
1369,neutral
1370,neutral
1371,surprise
1372,neutral
1373,neutral
1374,neutral
1375,neutral
1376,surprise
1377,neutral
1378,non-neutral
1379,non-neutral
1380,neutral
1381,non-neutral
1382,neutral
1383,anger
1384,non-neutral
1385,neutral
1386,sadness
1387,non-neutral
1388,non-neutral
1389,neutral
1390,anger
1391,neutral
1392,neutral
1393,non-neutral
1394,non-neutral
1395,neutral
1396,neutral
1397,neutral
1398,non-neutral
1399,neutral
1400,neutral
1401,neutral
1402,non-neutral
1403,neutral
1404,surprise
1405,joy
1406,joy
1407,neutral
1408,neutral
1409,surprise
1410,disgust
1411,joy
1412,joy
1413,joy
1414,surprise
1415,neutral
1416,fear
1417,fear
1418,non-neutral
1419,surprise
1420,neutral
1421,non-neutral
1422,disgust
1423,surprise
1424,neutral
1425,neutral
1426,surprise
1427,neutral
1428,neutral
1429,joy
1430,neutral
1431,neutral
1432,joy
1433,joy
1434,non-neutral
1435,neutral
1436,joy
1437,neutral
1438,neutral
1439,joy
1440,neutral
1441,neutral
1442,joy
1443,neutral
1444,neutral
1445,non-neutral
1446,neutral
1447,neutral
1448,surprise
1449,neutral
1450,neutral
1451,joy
1452,neutral
1453,neutral
1454,neutral
1455,non-neutral
1456,neutral
1457,neutral
1458,neutral
1459,neutral
1460,disgust
1461,neutral
1462,neutral
1463,non-neutral
1464,neutral
1465,neutral
1466,non-neutral
1467,surprise
1468,surprise
1469,non-neutral
1470,neutral
1471,neutral
1472,neutral
1473,joy
1474,neutral
1475,non-neutral
1476,neutral
1477,neutral
1478,neutral
1479,non-neutral
1480,neutral
1481,anger
1482,neutral
1483,neutral
1484,non-neutral
1485,neutral
1486,neutral
1487,neutral
1488,joy
1489,surprise
1490,neutral
1491,non-neutral
1492,non-neutral
1493,sadness
1494,joy
1495,non-neutral
1496,surprise
1497,neutral
1498,neutral
1499,joy
1500,joy
1501,surprise
1502,non-neutral
1503,joy
1504,joy
1505,non-neutral
1506,non-neutral
1507,neutral
1508,surprise
1509,neutral
1510,non-neutral
1511,neutral
1512,joy
1513,neutral
1514,non-neutral
1515,neutral
1516,non-neutral
1517,fear
1518,surprise
1519,neutral
1520,non-neutral
1521,non-neutral
1522,non-neutral
1523,neutral
1524,fear
1525,non-neutral
1526,fear
1527,neutral
1528,neutral
1529,neutral
1530,neutral
1531,non-neutral
1532,joy
1533,non-neutral
1534,non-neutral
1535,non-neutral
1536,joy
1537,joy
1538,joy
1539,neutral
1540,neutral
1541,non-neutral
1542,non-neutral
1543,neutral
1544,non-neutral
1545,surprise
1546,neutral
1547,non-neutral
1548,non-neutral
1549,surprise
1550,non-neutral
1551,non-neutral
1552,fear
1553,neutral
1554,neutral
1555,surprise
1556,non-neutral
1557,surprise
1558,anger
1559,non-neutral
1560,joy
1561,anger
1562,neutral
1563,neutral
1564,neutral
1565,neutral
1566,neutral
1567,neutral
1568,neutral
1569,neutral
1570,neutral
1571,neutral
1572,neutral
1573,neutral
1574,neutral
1575,non-neutral
1576,neutral
1577,neutral
1578,neutral
1579,non-neutral
1580,neutral
1581,neutral
1582,neutral
1583,surprise
1584,joy
1585,joy
1586,joy
1587,joy
1588,neutral
1589,joy
1590,neutral
1591,joy
1592,neutral
1593,non-neutral
1594,neutral
1595,surprise
1596,neutral
1597,neutral
1598,neutral
1599,disgust
1600,neutral
1601,anger
1602,neutral
1603,neutral
1604,joy
1605,joy
1606,neutral
1607,joy
1608,neutral
1609,neutral
1610,non-neutral
1611,surprise
1612,non-neutral
1613,non-neutral
1614,neutral
1615,fear
1616,neutral
1617,non-neutral
1618,anger
1619,joy
1620,joy
1621,joy
1622,joy
